t_start,t_end,n_events,n_above_mc,b,b_drift_per_day,b_drift_ok,benioff_total_log10,benioff_curv,target_M,target_time,window_kind,region,wf_n_successful,wf_n_snapshots,wf_spectral_slope,wf_waveform_entropy,wf_hht_imf1_if_median_hz
2000-02-15 15:20:00.910000+00:00,2000-03-16 15:20:00.910000+00:00,55,5,,,False,6.473355394949065,-9.212484409795309e-08,5.58,2000-03-16 15:20:00.910000+00:00,precursor,California,6,6,-3.4812588901445327,1.7363998756107186,2.0173871587206538
2000-08-04 08:36:30.980000+00:00,2000-09-03 08:36:30.980000+00:00,52,9,,,False,6.5529689102055455,-1.1910716807962005e-07,4.73,2000-09-03 08:36:30.980000+00:00,precursor,California,6,6,-2.7103786761645683,2.2660854412329816,2.8836015409499502
2001-06-17 12:07:27.480000+00:00,2001-07-17 12:07:27.480000+00:00,57,6,,,False,6.507862199101673,2.517373455389457e-07,4.72,2001-07-17 12:07:27.480000+00:00,precursor,California,5,6,-2.372271456741231,2.457613536571974,3.776635741507506
2001-11-08 23:36:12.640000+00:00,2001-12-08 23:36:12.640000+00:00,40,2,,,False,6.3713923728195,-2.838082212880124e-07,5.63,2001-12-08 23:36:12.640000+00:00,precursor,California,6,6,-3.289426819078994,1.760868192604118,2.2188698312930457
2003-01-23 12:19:11+00:00,2003-02-22 12:19:11+00:00,50,4,,,False,6.44594516550585,-1.2015950781301337e-07,4.55,2003-02-22 12:19:11+00:00,precursor,California,6,6,-1.86600807550243,2.4376468153111213,4.539788032829033
2003-11-22 19:15:57.840000+00:00,2003-12-22 19:15:57.840000+00:00,50,8,,,False,6.504815267999315,-9.848968864855887e-08,6.5,2003-12-22 19:15:57.840000+00:00,precursor,California,6,6,-3.424913082804311,1.7982965489727647,1.0660719182986602
2004-03-20 06:20:15.100000+00:00,2004-04-19 06:20:15.100000+00:00,48,0,,,False,6.327853271382981,-9.012857742064225e-08,4.74,2004-04-19 06:20:15.100000+00:00,precursor,California,6,6,-2.5424700027238027,2.1455974987878617,1.881524375211359
2004-08-29 17:15:25.150000+00:00,2004-09-28 17:15:25.150000+00:00,100,19,,,False,7.0307560207883135,2.5804549108789756e-06,5.82,2004-09-28 17:15:25.150000+00:00,precursor,California,6,6,-2.068278826053335,2.5807767856531396,7.065567394005111
2005-03-17 19:18:13.660000+00:00,2005-04-16 19:18:13.660000+00:00,39,3,,,False,6.310443585740028,-1.200500990273643e-07,4.71,2005-04-16 19:18:13.660000+00:00,precursor,California,6,6,-2.3878578173407,1.838141331270758,8.384776942931417
2006-01-17 17:47:58.720000+00:00,2006-02-16 17:47:58.720000+00:00,88,8,,,False,6.5769477307779205,-4.2121309483275223e-08,5.18,2006-02-16 17:47:58.720000+00:00,precursor,California,6,6,-2.067002215803287,2.053380318735887,7.4237995714014655
