magnitude_bin,n_precursor,macro_auc,per_region_aucs
"M[4.5,5.0)",91,0.6241615079061782,"{'California': 0.6328571428571429, 'Cascadia': 0.7258695652173912, 'Turkey': 0.5645998023715415, 'Italy': 0.5733195211786372}"
"M[5.0,10.0)",48,0.8133440615241413,"{'California': 0.8090625, 'Cascadia': 0.8500000000000001, 'Turkey': 0.718070652173913, 'Italy': 0.876243093922652}"
