t_start,t_end,n_events,n_above_mc,b,b_drift_per_day,b_drift_ok,benioff_total_log10,benioff_curv,target_M,target_time,window_kind,region,wf_station,wf_n_snapshots,wf_n_successful,wf_spectral_slope,wf_spectral_r2,wf_waveform_entropy,wf_hht_imf1_if_median_hz
2011-04-19 14:50:53.620000+00:00,2011-05-19 14:50:53.620000+00:00,99,7,,,False,6.581629627790788,1.3129448322350784e-07,4.67,2011-05-19 14:50:53.620000+00:00,precursor,Italy,MN.AQU,6,6,-1.5645647643890748,0.6923375399429698,2.905044212367587,3.950912846079685
2011-12-28 14:53:13.460000+00:00,2012-01-27 14:53:13.460000+00:00,64,6,,,False,6.490414765582133,2.004494286446266e-07,5.14,2012-01-27 14:53:13.460000+00:00,precursor,Italy,MN.AQU,6,6,-2.254595958037904,0.5819925714314994,1.7227185161898382,4.8196154046038755
2012-09-16 15:10:59.250000+00:00,2012-10-16 15:10:59.250000+00:00,79,9,,,False,6.677037818653529,-2.2063152613813825e-07,4.85,2012-10-16 15:10:59.250000+00:00,precursor,Italy,MN.AQU,6,6,-1.419284052531926,0.5670598741887704,2.804749871422608,4.766264946346933
2013-05-22 10:33:57.880000+00:00,2013-06-21 10:33:57.880000+00:00,65,4,,,False,6.40697347361124,-3.3094784483087676e-08,4.94,2013-06-21 10:33:57.880000+00:00,precursor,Italy,MN.AQU,6,6,-1.1203323867130976,0.43054585219622177,3.0720135444117176,4.794784168658463
2015-01-07 08:52:28.770000+00:00,2015-02-06 08:52:28.770000+00:00,85,5,,,False,6.558685271568509,1.933042098278871e-07,4.73,2015-02-06 08:52:28.770000+00:00,precursor,Italy,MN.AQU,6,5,-1.252082302421203,0.48913788174382516,2.7721357308556,4.877278723383615
2015-04-09 08:22:41.680000+00:00,2015-05-09 08:22:41.680000+00:00,83,8,,,False,6.604100707394876,-4.108095686748e-07,4.7,2015-05-09 08:22:41.680000+00:00,precursor,Italy,MN.AQU,6,6,-0.8009659950130751,0.37163438790620135,3.470191525806539,4.878618932022998
2016-07-25 01:36:33.730000+00:00,2016-08-24 01:36:33.730000+00:00,39,2,,,False,6.14241408834102,1.1952235527957872e-08,6.09,2016-08-24 01:36:33.730000+00:00,precursor,Italy,MN.AQU,6,5,-0.3699861638459492,0.18970485983728513,3.7983830049924263,4.651029958472525
2018-06-14 02:50:53.680000+00:00,2018-07-14 02:50:53.680000+00:00,60,1,,,False,6.261541854501487,9.590754809373076e-08,4.54,2018-07-14 02:50:53.680000+00:00,precursor,Italy,MN.AQU,6,0,,,,
2019-08-22 19:55:48.040000+00:00,2019-09-21 19:55:48.040000+00:00,57,4,,,False,6.443934685975746,-1.9919938322553446e-07,4.67,2019-09-21 19:55:48.040000+00:00,precursor,Italy,MN.AQU,6,5,-0.39755014041244907,0.25749885326909455,3.772738177824764,4.651586237133392
2020-02-21 05:24:03.520000+00:00,2020-03-22 05:24:03.520000+00:00,63,4,,,False,6.459740727156921,1.2535883001809688e-07,4.94,2020-03-22 05:24:03.520000+00:00,precursor,Italy,MN.AQU,6,6,-0.7306293266425685,0.4244778173015821,3.6910134566753308,4.531876543881212
2020-10-23 03:53:07.550000+00:00,2020-11-22 03:53:07.550000+00:00,87,6,,,False,6.573483854514665,-3.680910000684613e-07,4.71,2020-11-22 03:53:07.550000+00:00,precursor,Italy,MN.AQU,6,6,-0.3843559893437262,0.18051144161171062,3.8197340784780436,4.4178597629066
2021-07-20 05:30:20.590000+00:00,2021-08-19 05:30:20.590000+00:00,47,4,,,False,6.4603018690568135,-3.21953092292132e-08,4.71,2021-08-19 05:30:20.590000+00:00,precursor,Italy,MN.AQU,6,6,-0.7183373102060445,0.3806169239929999,3.559845186911231,4.7556309863784785
2022-03-23 21:07:49.200000+00:00,2022-04-22 21:07:49.200000+00:00,42,4,,,False,6.37843725196605,1.1712204277670282e-07,5.53,2022-04-22 21:07:49.200000+00:00,precursor,Italy,MN.AQU,6,6,-0.4425412628220875,0.2878576665251192,3.604849731097714,4.553883040011563
2022-10-01 21:42:51.160000+00:00,2022-10-31 21:42:51.160000+00:00,42,3,,,False,6.177782448745157,-8.916334665816883e-08,5.27,2022-10-31 21:42:51.160000+00:00,precursor,Italy,MN.AQU,6,6,-0.06973406351043743,0.08745929482351973,3.9811977455808774,4.740775485127717
