bin_label,lo,hi,macro_auc,ci_lo,ci_hi,n_pre_total
"M=[4.5,5.0)",4.5,5.0,0.7306229648974215,0.6402159090909091,0.8292601284584982,91
M>=5.0,5.0,99.0,0.8785260052447552,0.810887784090909,0.9267395104895105,48
"M=[4.5,4.8)",4.5,4.8,0.7009887770897831,0.6083823529411765,0.8152534829721362,72
"M=[4.8,5.2)",4.8,5.2,0.8369305555555555,0.7589166666666667,0.9149444444444443,33
M>=5.2,5.2,99.0,0.8931163194444445,0.8069444444444445,0.9547656250000001,34
