t_start,t_end,n_events,n_above_mc,b,b_drift_per_day,b_drift_ok,benioff_total_log10,benioff_curv,target_M,target_time,window_kind,region
2016-05-11 08:04:38.150000+00:00,2016-06-10 08:04:38.150000+00:00,16,0,,,False,5.632112249536737,-1.5375524973758187e-08,4.7,2016-06-10 08:04:38.150000+00:00,precursor,California
2016-11-14 16:41:07.240000+00:00,2016-12-14 16:41:07.240000+00:00,19,0,,,False,5.792856074152223,-3.076232747605421e-08,4.72,2016-12-14 16:41:07.240000+00:00,precursor,California
2018-03-06 19:29:17.240000+00:00,2018-04-05 19:29:17.240000+00:00,22,4,,,False,6.041108706466795,-5.568553479915913e-08,4.84,2018-04-05 19:29:17.240000+00:00,precursor,California
2020-03-12 14:36:38.420000+00:00,2020-04-11 14:36:38.420000+00:00,117,14,,,False,6.737059308185783,4.344723757478485e-07,4.82,2020-04-11 14:36:38.420000+00:00,precursor,California
2021-06-08 22:49:49.800000+00:00,2021-07-08 22:49:49.800000+00:00,104,2,,,False,6.512185498262706,-3.5456344843164596e-07,5.58,2021-07-08 22:49:49.800000+00:00,precursor,California
2021-11-20 20:10:21.700000+00:00,2021-12-20 20:10:21.700000+00:00,62,0,,,False,6.157617788874564,2.461304119190573e-08,5.72,2021-12-20 20:10:21.700000+00:00,precursor,California
2022-09-25 18:42:03.270000+00:00,2022-10-25 18:42:03.270000+00:00,78,4,,,False,6.380242558669982,7.047655976793684e-08,4.84,2022-10-25 18:42:03.270000+00:00,precursor,California
2023-04-11 23:19:43.060000+00:00,2023-05-11 23:19:43.060000+00:00,102,4,,,False,6.55596534832884,3.605934513263773e-07,5.12,2023-05-11 23:19:43.060000+00:00,precursor,California
2023-07-21 21:41:01.320000+00:00,2023-08-20 21:41:01.320000+00:00,87,1,,,False,6.322349556624811,9.103028914592811e-08,5.02,2023-08-20 21:41:01.320000+00:00,precursor,California
2024-06-29 20:00:52.010000+00:00,2024-07-29 20:00:52.010000+00:00,96,3,,,False,6.4903081403429965,-1.2064834540046662e-08,4.6,2024-07-29 20:00:52.010000+00:00,precursor,California
2019-04-14 16:54:00.916806144+00:00,2019-05-14 16:54:00.916806144+00:00,46,4,,,False,6.337785722355699,-7.258223317808187e-08,,,null_A,California
2010-12-08 06:21:22.289674944+00:00,2011-01-07 06:21:22.289674944+00:00,142,17,,,False,6.875064388589792,-6.700414796466054e-07,,,null_A,California
2017-05-17 16:47:53.226837056+00:00,2017-06-16 16:47:53.226837056+00:00,11,0,,,False,5.461439561710333,-1.1311814303570056e-08,,,null_A,California
2024-04-23 00:11:15.988412160+00:00,2024-05-23 00:11:15.988412160+00:00,135,14,,,False,6.880192620856895,1.910298794073203e-06,,,null_A,California
2018-12-19 01:35:46.280263808+00:00,2019-01-18 01:35:46.280263808+00:00,31,2,,,False,6.161814955392608,1.666985742943864e-07,,,null_A,California
2019-08-02 21:32:44.434931968+00:00,2019-09-01 21:32:44.434931968+00:00,52,4,,,False,6.495540244628684,4.934382352815013e-07,,,null_A,California
2011-03-22 23:47:09.275894912+00:00,2011-04-21 23:47:09.275894912+00:00,95,14,,,False,6.749810999127994,8.790005943966865e-07,,,null_A,California
2009-03-28 16:27:24.491117248+00:00,2009-04-27 16:27:24.491117248+00:00,66,5,,,False,6.521680345678755,1.6190683878732554e-08,,,null_A,California
2016-01-16 18:52:10.336328448+00:00,2016-02-15 18:52:10.336328448+00:00,25,1,,,False,6.022449148173456,-2.0533719885777048e-07,,,null_A,California
2011-01-18 13:02:30.121968128+00:00,2011-02-17 13:02:30.121968128+00:00,83,9,,,False,6.582052745100057,-1.4007144022456275e-07,,,null_A,California
2005-08-30 04:42:30.056290432+00:00,2005-09-29 04:42:30.056290432+00:00,100,20,,,False,6.946099950274627,-1.7737556257655428e-06,,,null_A,California
2013-10-26 06:33:15.168547840+00:00,2013-11-25 06:33:15.168547840+00:00,9,0,,,False,5.316061766626991,3.624899900398441e-08,,,null_A,California
2020-08-15 04:26:36.053474944+00:00,2020-09-14 04:26:36.053474944+00:00,113,4,,,False,6.605871185262693,-4.697890647492231e-07,,,null_A,California
2015-09-27 18:01:42.178560576+00:00,2015-10-27 18:01:42.178560576+00:00,18,0,,,False,5.719423464136824,-1.891068119576184e-08,,,null_A,California
2018-11-21 06:59:48.317188224+00:00,2018-12-21 06:59:48.317188224+00:00,22,2,,,False,6.117730313856012,-1.0787160969274967e-07,,,null_A,California
2024-03-09 04:37:56.966358016+00:00,2024-04-08 04:37:56.966358016+00:00,71,2,,,False,6.295096932518855,8.897362356158586e-08,,,null_A,California
2022-04-03 04:32:30.017722112+00:00,2022-05-03 04:32:30.017722112+00:00,92,1,,,False,6.382852995337719,-1.8792167167446148e-10,,,null_A,California
2019-05-24 23:55:44.146495872+00:00,2019-06-23 23:55:44.146495872+00:00,40,3,,,False,6.626997461453415,4.828235134820419e-07,,,null_A,California
2011-08-18 15:38:13.236880832+00:00,2011-09-17 15:38:13.236880832+00:00,47,7,,,False,6.422011529421593,-5.894671763872678e-07,,,null_A,California
2001-02-02 19:27:05.091023364+00:00,2001-03-04 19:27:05.091023364+00:00,59,7,,,False,6.528759362628169,-3.2876136696494996e-07,,,null_A,California
2018-07-23 00:28:00.093447424+00:00,2018-08-22 00:28:00.093447424+00:00,22,2,,,False,6.0046242244808115,1.2613433778001548e-07,,,null_A,California
2024-02-09 04:15:22.666305792+00:00,2024-03-10 04:15:22.666305792+00:00,92,8,,,False,6.547904948914841,-6.157004216459471e-07,,,null_A,California
2009-03-25 14:33:44.857094656+00:00,2009-04-24 14:33:44.857094656+00:00,73,6,,,False,6.56472484310687,-1.2289039646677906e-08,,,null_A,California
2011-09-13 10:48:22.707103168+00:00,2011-10-13 10:48:22.707103168+00:00,61,5,,,False,6.45188076560766,1.561579283345512e-07,,,null_A,California
2011-11-08 09:52:32.431464704+00:00,2011-12-08 09:52:32.431464704+00:00,52,0,,,False,6.317743624127104,-1.151790048525798e-07,,,null_A,California
2005-08-27 04:46:04.241398816+00:00,2005-09-26 04:46:04.241398816+00:00,103,20,,,False,6.95197137187828,-2.515668005991787e-06,,,null_A,California
2010-11-22 13:15:18.742512576+00:00,2010-12-22 13:15:18.742512576+00:00,152,12,,,False,6.8373565080069065,7.212759065967899e-07,,,null_A,California
2020-09-30 02:47:51.600522368+00:00,2020-10-30 02:47:51.600522368+00:00,282,11,,,False,6.9898404201137,-1.8718273153301223e-06,,,null_A,California
2017-06-13 01:34:01.982920512+00:00,2017-07-13 01:34:01.982920512+00:00,15,0,,,False,5.6922500349935214,2.3869873543633482e-08,,,null_A,California
2020-09-26 07:24:47.833807744+00:00,2020-10-26 07:24:47.833807744+00:00,286,12,,,False,6.999959288447327,-2.9916187710388507e-06,,,null_A,California
2020-01-20 01:56:57.438894976+00:00,2020-02-19 01:56:57.438894976+00:00,91,2,,,False,6.426115431365531,-1.8914287488751586e-07,,,null_A,California
2003-06-26 00:15:11.886475920+00:00,2003-07-26 00:15:11.886475920+00:00,38,2,,,False,6.201251310437973,2.959467179509267e-07,,,null_A,California
2004-12-24 11:15:59.882637152+00:00,2005-01-23 11:15:59.882637152+00:00,37,6,,,False,6.46545834314291,-4.790297546945028e-07,,,null_A,California
2019-08-10 17:23:59.314981888+00:00,2019-09-09 17:23:59.314981888+00:00,53,5,,,False,6.520113474176749,-5.861352233162136e-07,,,null_A,California
2017-07-27 15:52:10.001725056+00:00,2017-08-26 15:52:10.001725056+00:00,26,0,,,False,5.888651418058032,1.8689178674951014e-08,,,null_A,California
2019-06-15 08:13:57.733741568+00:00,2019-07-15 08:13:57.733741568+00:00,652,159,0.7882742308517923,0.013556015127974545,True,8.195124597561827,1.6561171301974314e-05,,,null_A,California
2011-06-08 14:50:41.500913280+00:00,2011-07-08 14:50:41.500913280+00:00,52,7,,,False,6.456126201476289,-3.5492419235153473e-07,,,null_A,California
2003-06-26 09:58:33.656879056+00:00,2003-07-26 09:58:33.656879056+00:00,38,2,,,False,6.201251310437973,2.959467179509267e-07,,,null_A,California
2002-11-08 11:15:28.224446464+00:00,2002-12-08 11:15:28.224446464+00:00,37,2,,,False,6.309232709929371,1.0719477369944506e-07,,,null_A,California
2011-09-27 11:15:15.351373760+00:00,2011-10-27 11:15:15.351373760+00:00,56,9,,,False,6.470190508933008,-1.319551323342711e-07,,,null_A,California
2019-01-23 04:30:00.592552064+00:00,2019-02-22 04:30:00.592552064+00:00,34,3,,,False,6.3504427800266035,-3.6602477861209477e-07,,,null_A,California
2015-10-25 13:03:20.482739520+00:00,2015-11-24 13:03:20.482739520+00:00,18,2,,,False,5.987899005209163,-1.4846075868547678e-07,,,null_A,California
2013-10-17 02:57:39.770889216+00:00,2013-11-16 02:57:39.770889216+00:00,16,0,,,False,5.580071975133175,-2.2388267045983484e-08,,,null_A,California
2013-12-07 08:09:28.112518848+00:00,2014-01-06 08:09:28.112518848+00:00,8,4,,,False,6.158209676934296,-4.611035523141767e-07,,,null_A,California
2010-11-18 14:20:48.041444800+00:00,2010-12-18 14:20:48.041444800+00:00,146,15,,,False,6.84472572919849,5.114625493379987e-07,,,null_A,California
