feature,held_out_region,n_test_pre,n_test_null,n_test_finite,auc,ci_lo,ci_hi
n_above_mc_traj,California,37,200,237,0.5733783783783784,0.4663959026323185,0.674482401029014
n_above_mc_traj,Cascadia,36,200,236,0.48597222222222225,0.3860826774823557,0.594307862012871
n_above_mc_traj,Turkey,30,200,214,0.6018115942028986,0.48631724229887047,0.7094998079877112
n_above_mc_traj,Italy,36,200,215,0.5059311017224569,0.4097382122382123,0.6071474998839315
benioff_total_traj,California,37,200,237,0.732972972972973,0.634782647313556,0.8163864252278886
benioff_total_traj,Cascadia,36,200,236,0.8088888888888889,0.7273354529918763,0.8848156336598173
benioff_total_traj,Turkey,30,200,214,0.6083333333333334,0.4986503097005448,0.7161832699528256
benioff_total_traj,Italy,36,200,215,0.6653396165095873,0.5632425193050193,0.7618215926358599
