classifier,test_region,n_test_pre,n_test_null,auc,ci_lo,ci_hi
logreg,California,37,200,0.5104054054054054,0.40399303594787594,0.6204641635400574
logreg,Cascadia,33,193,0.547652692730413,0.42572016158731885,0.6757844292803971
logreg,Turkey,26,145,0.5543766578249337,0.4248380152768133,0.6712212084769151
logreg,Italy,34,182,0.49321266968325794,0.3941234291415051,0.591745213405873
rf,California,37,200,0.4345945945945946,0.3252132232203226,0.5381643804728796
rf,Cascadia,33,193,0.4887737478411054,0.3896832351116626,0.5878034885829332
rf,Turkey,26,145,0.5387267904509284,0.4155177642309995,0.6454655217139195
rf,Italy,34,182,0.45677117000646417,0.3601561440472731,0.5467394392292488
